Präposition,Funktion,Beispiel,Kapitel
DI,Indicare la città da cui si viene con il verbo "essere",Io sono di Milano.,2
DI,"Indicare il posto dove qualcuno va o sta con ""qui"", ""qua"", ""là"" e ""lì""",Marco è di là.,3
DI,Indicare l'età di una persona,Giacomo è un ragazzo di 19 anni.,4
DI,Indicare il momento preciso di un fatto,Di sera guardo la tv.,4
DI,Introdurre la causa con espressioni che indicano lo stato d'animo,Muoio di freddo.,5
DI,Indicare gli argomenti di cui si parla,Aldo parla molto di politica.,8
DI,Indicare chi è l'autore,Mi piace molto la musica di Verdi.,8
DI,Spiegare la materia con cui sono fatti gli oggetti,Ho comprato un orologio d'oro.,8
DI,Indicare e specificare un oggetto o una persona che fa parte di un gruppo più grande,I mobili del mio ufficio sono vecchi.,8
DI,Indicare la quantità,"Mi dà del pane, per favore?",8
DI,"Introdurre i verbi all'infinito nella forma ""verbo""+""di""+""infinito""",Tu pensi di essere bello?,8
DI,"Confrontare 2 cose o persone con le parole ""più"" o ""meno""",Mario è più basso di Giacomo.,8
DI,Indicare la proprietà di una cosa,La macchina di Mario ha 4 air-bag.,8
A,Indicare la città dove qualcuno è o va,Luca va a Roma.,2
A,Indicare il posto dove qualcuno è o va con i nomi della lista di pag. 27,Mario è (va) al mare.,3
A,Indicare il posto dove qualcuno è o va con i verbi all'infinito,Vado a giocare a pallone.,3
A,Indicare lo spazio che manca per arrivare in un posto,Roma è a 25 Km. da qui.,3
A,"Indicare il luogo dopo le parole ""vicino"", ""davanti"", ""dietro"" e ""sopra""",Marco è davanti a me.,3
A,Indicare il momento preciso di un fatto davanti ai nomi dei giorni importanti,A Natale vado da mia zia.,4
A,Indicare la fine di un periodo di tempo,Il bar è chiuso dalle 12 alle 14.,4
A,Indicare l'età di una persona,A 6 anni Luca è andato a scuola.,4
A,Indicare l'ora esatta,Esco alle sette.,4
A,Indicare il fine con alcuni verbi (vedi lista pag. 56) seguiti da un altro verbo all'infinito,Esco a comprare il giornale.,5
A,"Introdurre il mezzo di trasporto con le parole ""cavallo"" e ""piedi""",Vado a piedi.,6
A,Spiegare in che modo è qualcosa o qualcuno,La casa di Maria è a due piani.,7
A,Unire due parole per creare una parola nuova,Barca a vela.,7
A,Confrontare 2 cose o persone simili o uguali,Mario è uguale a Lino.,8
A,Introdurre il complemento di termine,Le mamme pensano ai bambini.,8
A,Introdurre dopo i verbi della lista a pag. 100 i verbi all'infinito,Comincia a studiare.,8
DA,Indicare il posto di partenza o di origine,Vengo da Milano.,2
DA,Indicare la persona da cui si va (o si è),Questa sera dormo da te.,2
DA,Introdurre il luogo attraverso cui si passa,Federica è passata dalla camera.,3
DA,Indicare l'inizio di un periodo di tempo,Il bar è chiuso dalle 12 alle 14.,3
DA,Indicare un periodo di tempo che va dal passato al momento presente,Abito a Roma da 15 anni (e sto ancora abitando a Roma).,4
DA,"Indicare le età di una persona con le parole ""giovane"", ""vecchio"", ""bambino"", ""ragazzo"" ecc.",Maria da ragazza ha vissuto a Firenze.,4
DA,Introdurre la causa con molte espressioni che indicano lo stato d'animo,Grido dalla gioia.,5
DA,Spiegare in che modo è qualcosa o qualcuno,Un ragazzo dai capelli neri.,7
DA,Unire due parole per creare una parola nuova,Macchina da corsa.,7
DA,Confrontare 2 cose o persone diverse,Antonia è diversa da Federica.,8
DA,Creare la forma passiva,Antonia è stata punta da un'ape.,8
IN,Indicare il posto dove si va o si è quando il luogo è una località geografica che non è una città,Luca va in Francia.,2
IN,Indicare il posto dove qualcuno è o va con i nomi della lista di pag. 27,Mario è (va) in casa.,3
IN,Indicare il momento preciso di un fatto,Sono nato nel 1960.,4
IN,Indicare il periodo di tempo in cui si compie un'azione,Il treno arriva in due ore.,4
IN,Introdurre il mezzo di trasporto,Vado in macchina.,6
IN,Spiegare la materia con cui sono fatti gli oggetti,Questo mobile è in ciliegio.,8
CON,Introdurre il mezzo di trasporto,Vado con la macchina.,6
CON,Introdurre i mezzi che usiamo come strumento di comunicazione,Ho mandato il testo con il fax.,6
CON,Indicare i mezzi che usiamo per lavorare o per fare le cose di tutti i giorni,Lavoro con il computer.,6
CON,Indicare le persone o le cose che stanno insieme,Io abito con Grace.,6
CON,Spiegare il modo di essere di qualcosa o di qualcuno,La casa ha un giardino con fiori e con piante di tutti i tipi.,7
SU,"Indicare, in alcuni casi particolari, il posto dove si è o si va",Sono seduto sulla sedia.,2
SU,"Introdurre, in alcuni casi particolari, gli argomenti di cui si parla",Ho letto un libro sulla storia antica.,8
PER,"Indicare, in alcuni casi particolari, il posto dove si è o si va",Sono seduto per terra.,3
PER,Introdurre il luogo attraverso il quale si passa,Federica è passata per la camera.,3
PER,Indicare per quanto tempo il soggetto continua a compiere un'azione,Ho abitato a Roma per 15 anni (ho continuato ad abitare a Roma per 15 anni).,4
PER,Indicare il fine di un'azione,Lavoro per vivere.,5
PER,Introdurre la causa di un'azione,Mario è a letto per l'influenza.,5
PER,Introdurre la causa con molte espressioni che indicano lo stato d'animo,Grido per la gioia.,5
PER,Indicare i mezzi che usiamo come strumento per comunicare,Ho mandato il testo per fax.,6
TRA/FRA,Indicare lo spazio che manca per arrivare in un posto,Fra 10 km. siamo arrivati.,3
TRA/FRA,Indicare l'inizio di un periodo di tempo entro il quale si svolge un'azione,Mario arriverà tra le 5 e le 6.,4
TRA/FRA,Indicare dopo quanto tempo avviene un'azione,Esco tra un'ora.,4
